"lsoa11cd","CAUTH18NM","lsoa11nm","st_areasha","st_lengths","IMD_Rank","IMD_Decile","IMDScore","IMDRank0","IMDDec0","IncScore","IncRank","IncDec","EmpScore","EmpRank","EmpDec","EduScore","EduRank","EduDec","HDDScore","HDDRank","HDDDec","CriScore","CriRank","CriDec","BHSScore","BHSRank","BHSDec","EnvScore","EnvRank","EnvDec","IDCScore","IDCRank","IDCDec","IDOScore","IDORank","IDODec","CYPScore","CYPRank","CYPDec","ASScore","ASRank","ASDec","GBScore","GBRank","GBDec","WBScore","WBRank","WBDec","IndScore","IndRank","IndDec","OutScore","OutRank","OutDec","TotPop","DepChi","Pop16_59","Pop60.","WorkPop"
"E01006412","Liverpool City Region","Knowsley 006A",260222.126666,2786.65595423715,264,1,70.402,264,1,0.466,101,1,0.323,267,1,73.57,572,1,2.238,169,1,-0.327,21431,7,30.358,6711,3,18.221,16637,6,0.604,45,1,0.475,830,1,1.35,1601,1,0.569,479,1,0.54,7506,3,1.248,9529,3,0.138,14318,5,0,15300,5,1489,296,844,349,820.25
"E01006413","Liverpool City Region","Knowsley 006B",451753.403872,3815.32230095642,97,1,75.149,97,1,0.462,111,1,0.406,29,1,77.61,381,1,2.431,91,1,0.284,12194,4,32.524,5364,2,17.904,16902,6,0.395,1550,1,0.566,306,1,1.394,1403,1,0.591,279,1,0.668,6176,2,1.258,9480,3,0.021,16117,5,0.169,12594,4,1520,227,957,336,988.5
"E01006414","Liverpool City Region","Knowsley 006C",274214.0366885,4457.17496429776,1297,1,56.425,1297,1,0.335,1312,1,0.271,850,1,53.388,2665,1,2.148,223,1,-0.057,17522,6,21.177,15298,5,21.801,13981,5,0.36,2334,1,0.425,1427,1,0.755,5892,2,0.528,1258,1,-0.065,16827,6,1.191,9745,3,0.3,11874,4,0.096,13739,5,1348,255,714,379,713.5
"E01006415","Liverpool City Region","Knowsley 003A",1533293.5241265,7856.22292584948,3757,2,41.885,3757,2,0.247,4205,2,0.204,2944,1,41.28,5051,2,1.406,1854,1,0.432,10000,4,17.235,20133,7,27.295,10362,4,0.246,7118,3,0.36,2796,1,0.654,6999,3,0.458,3686,2,0.018,15365,5,-0.005,15232,5,0.411,10375,4,0.487,8544,3,2061,453,1242,366,1247.75
"E01006416","Liverpool City Region","Knowsley 005A",1463265.4014755,6062.21661066249,625,1,63.536,625,1,0.376,644,1,0.308,387,1,73.687,567,1,1.722,820,1,-0.417,22656,7,20.181,16436,6,33.747,6825,3,0.399,1480,1,0.442,1194,1,1.298,1846,1,0.579,373,1,-0.113,17652,6,1.086,10160,4,0.833,5344,2,0.133,13116,4,1438,320,817,301,829.25
"E01006417","Liverpool City Region","Knowsley 003B",269275.787344,4152.4298522059,103,1,74.948,103,1,0.418,258,1,0.386,47,1,75.553,480,1,2.389,104,1,1.107,2753,1,19.812,16864,6,27.793,10081,4,0.467,540,1,0.419,1523,1,1.26,2037,1,0.603,200,1,-0.241,19956,7,1.312,9269,3,0.344,11284,4,0.673,6725,3,1245,202,742,301,795
"E01006418","Liverpool City Region","Knowsley 005B",461543.772288,4849.1110796387,662,1,63.011,662,1,0.345,1097,1,0.285,636,1,63.647,1321,1,1.939,423,1,0.362,10986,4,25.029,11076,4,39.867,4306,2,0.418,1141,1,0.407,1729,1,1.022,3587,2,0.557,659,1,0.365,9806,3,0.706,11842,4,0.917,4526,2,0.554,7847,3,1336,255,771,310,770.25
"E01006419","Liverpool City Region","Knowsley 019A",459823.2674235,4301.55506039716,16152,5,17.962,16152,5,0.074,20800,7,0.081,16126,5,11.481,20442,7,0.501,9066,3,0.084,15363,5,33.441,4852,2,15.232,19003,6,0.055,26407,9,0.153,13840,5,-0.426,22823,7,0.29,17117,6,1.329,1979,1,-1.756,24666,8,-0.145,18761,6,0.122,13289,5,1447,241,927,279,930
"E01006420","Liverpool City Region","Knowsley 017A",10846982.7662875,21008.0296841423,17269,6,16.711,17269,6,0.07,21454,7,0.058,21963,7,6.883,25161,8,0.001,16001,5,0.751,5933,2,25.676,10486,4,35.881,5860,2,0.065,24739,8,0.148,14305,5,-0.673,26198,8,0.244,22425,7,0.886,4222,2,-1.841,25097,8,0.555,8484,3,1.039,3873,2,2101,464,1288,349,1285
"E01006421","Liverpool City Region","Knowsley 018A",220071.7474235,2973.08223028156,21555,7,12.545,21555,7,0.058,24147,8,0.045,26449,9,8.732,23156,8,0.489,9225,3,-1.191,30419,10,35.141,4030,2,8.253,25896,8,0.108,18489,6,0.076,24053,8,-0.707,26593,9,0.276,18746,6,1.465,1520,1,-2.107,26315,9,-1.2,30276,10,0.148,12888,4,1147,209,765,173,760.25
"E01006422","Liverpool City Region","Knowsley 019B",275219.4653915,2832.55616306041,16206,5,17.908,16206,5,0.105,15567,5,0.093,13719,5,17.006,15809,5,0.824,5685,2,-0.519,24049,8,4.404,32251,10,19.045,16005,5,0.087,21280,7,0.139,15236,5,-0.043,16785,6,0.316,14230,5,-0.731,27195,9,-2.256,26898,9,0.185,13547,5,0,15299,5,1260,148,673,439,679.5
"E01006423","Liverpool City Region","Knowsley 019C",234995.8174385,2714.06581779757,19493,6,14.453,19493,6,0.054,25293,8,0.075,17606,6,12.284,19677,6,0.215,12852,4,-0.024,17056,6,23.258,12921,4,25.563,11435,4,0.066,24593,8,0.067,25861,8,-0.317,21224,7,0.29,17141,6,0.743,5403,2,-1.76,24692,8,0.536,8725,3,0.004,15238,5,1418,261,852,305,874
"E01006424","Liverpool City Region","Knowsley 017B",3599815.4605895,10084.7571186771,19338,6,14.604,19338,6,0.065,22620,7,0.075,17406,6,9.86,21983,7,0.301,11615,4,0.116,14884,5,22.927,13287,5,19.342,15778,5,0.049,27515,9,0.11,18648,6,-0.559,24730,8,0.28,18242,6,0.767,5202,2,-2.112,26348,9,-0.844,27726,9,1.134,3299,2,2029,336,1262,431,1279.75
"E01006425","Liverpool City Region","Knowsley 018B",1713736.052141,6834.40486305182,9341,3,27.42,9341,3,0.163,9394,3,0.146,6910,3,24.513,11077,4,0.815,5759,2,-0.133,18635,6,28.051,8389,3,10.809,23204,8,0.159,13199,5,0.248,7047,3,0.274,11804,4,0.355,10309,4,0.86,4413,2,-0.79,19515,6,-0.47,23514,8,0.003,15261,5,1345,233,847,265,860.5
"E01006426","Liverpool City Region","Knowsley 020A",333039.983127,3121.92292430657,639,1,63.325,639,1,0.367,760,1,0.306,403,1,69.52,816,1,1.962,392,1,0.552,8369,3,15.171,22774,7,20.808,14685,5,0.389,1660,1,0.457,1006,1,1.383,1445,1,0.54,970,1,-0.927,29232,9,1.243,9550,3,0.158,14014,5,0.26,11273,4,1388,287,830,271,821.25
"E01006427","Liverpool City Region","Knowsley 019D",343143.9882445,3281.09016266684,14187,5,20.176,14187,5,0.123,13286,5,0.107,11495,4,24.445,11113,4,0.695,6933,3,-0.3,21039,7,7.556,30639,10,16.088,18345,6,0.146,14368,5,0.164,12787,4,0.198,12937,4,0.365,9457,3,-0.547,24754,8,-1.293,22362,7,-0.103,18081,6,0.157,12758,4,1455,220,775,460,775.5
"E01006428","Liverpool City Region","Knowsley 020B",960167.8516065,6355.65227406572,4117,2,40.476,4117,2,0.277,2958,1,0.211,2665,1,43.458,4536,2,1.092,3579,2,-0.37,22026,7,14.668,23444,8,26.682,10759,4,0.287,4977,2,0.35,3041,1,0.961,4053,2,0.426,5214,2,-0.163,18611,6,-0.121,15812,5,0.451,9864,4,0.337,10280,4,1627,394,962,271,957.75
"E01006429","Liverpool City Region","Knowsley 020C",1146276.9620235,5706.31082738624,865,1,60.604,865,1,0.373,672,1,0.285,629,1,61.693,1551,1,1.702,863,1,-0.195,19547,6,20.712,15823,5,36.451,5604,2,0.501,314,1,0.368,2614,1,1.264,2014,1,0.512,1691,1,-0.187,19031,6,1.397,8965,3,0.289,12014,4,1.502,1620,1,1131,222,649,260,651.75
"E01006430","Liverpool City Region","Knowsley 018C",268212.3010315,3251.38438190404,1132,1,57.826,1132,1,0.364,807,1,0.255,1169,1,69.952,783,1,1.975,377,1,-0.166,19144,6,15.915,21790,7,16.27,18183,6,0.476,468,1,0.428,1398,1,1.664,583,1,0.501,2066,1,-0.577,25181,8,1.034,10404,4,-0.264,20567,7,0.395,9580,3,1309,213,682,414,684.25
"E01006431","Liverpool City Region","Knowsley 020D",513442.988925,4141.36740132421,8172,3,29.686,8172,3,0.18,8024,3,0.144,7121,3,26.467,10077,4,0.828,5651,2,0.571,8120,3,16.528,21001,7,25.643,11386,4,0.218,8871,3,0.238,7606,3,0.389,10245,4,0.359,9954,4,0.005,15584,5,-0.153,15997,5,0.364,11012,4,0.399,9496,3,1704,292,1006,406,1036.5
